"","date","lag1","lag2","lag3","lag4","lag1cum","lag2cum","lag3cum","lag4cum"
"1",2000-04-01,6.65503495770789e-05,0,0,0,6.65503495770789e-05,0,0,0
"2",2000-05-01,5.64498454953705e-05,4.87107570237874e-05,0,0,0.000123000195072449,4.87107570237874e-05,0,0
"3",2000-06-01,1.87648982284155e-07,9.7988489975341e-06,3.3850189025663e-06,0,0.000123187844054734,5.85096060213215e-05,3.3850189025663e-06,0
"4",2000-07-01,1.57324107033387e-05,1.10955383345249e-05,7.17479855835204e-06,1.07497809330704e-05,0.000138920254758072,6.96051443558464e-05,1.05598174609183e-05,1.07497809330704e-05
"5",2000-08-01,7.74513013196212e-07,2.88586455016789e-08,2.23310841973374e-06,3.15918592626156e-05,0.000139694767771269,6.9634003001348e-05,1.27929258806521e-05,4.2341640195686e-05
"6",2000-09-01,2.74115011203961e-07,2.04573918578555e-07,4.98020933763672e-07,4.61443646156605e-07,0.000139968882782472,6.98385769199266e-05,1.32909468144158e-05,4.28030838418426e-05
"7",2000-10-01,6.49667902170603e-06,7.80770748112046e-06,5.77711143479115e-06,1.71519722629759e-06,0.000146465561804179,7.76462844010471e-05,1.90680582492069e-05,4.45182810681402e-05
"8",2000-11-01,0.000185579821335571,0.000145847073526241,0.000124355240686236,0.000430938558366636,0.00033204538313975,0.000223493357927288,0.000143423298935443,0.000475456839434776
"9",2000-12-01,8.39357882295236e-05,7.9958657018777e-05,7.87799830076041e-05,0.000262627522994465,0.000415981171369274,0.000303452014946065,0.000222203281943047,0.000738084362429241
"10",2001-01-01,5.56824862804534e-06,2.92881947143502e-05,3.76718751277829e-05,0.000301230924259344,0.000421549419997319,0.000332740209660415,0.00025987515707083,0.00103931528668859
"11",2001-02-01,6.46672870646409e-06,1.09140328736963e-05,2.03110032355971e-05,8.97246913186624e-05,0.000428016148703783,0.000343654242534112,0.000280186160306427,0.00112903997800725
"12",2001-03-01,2.23435351566703e-06,2.40420640873233e-06,2.21808562914188e-07,2.10061566106164e-06,0.00043025050221945,0.000346058448942844,0.000280407968869341,0.00113114059366831
"13",2001-04-01,2.2589102941029e-08,3.99859208137899e-07,1.71666877067302e-06,2.64047931500516e-05,0.000430273091322391,0.000346458308150982,0.000282124637640014,0.00115754538681836
"14",2001-05-01,7.24959612158424e-07,2.54374698211125e-06,7.09595391213885e-06,1.62256208464992e-05,0.000430998050934549,0.000349002055133093,0.000289220591552153,0.00117377100766486
"15",2001-06-01,2.77622593759052e-07,8.55233100203025e-06,1.73301914328046e-05,2.57049677898977e-05,0.000431275673528308,0.000357554386135123,0.000306550782984957,0.00119947597545476
"16",2001-07-01,6.0230439891793e-05,6.21211572034354e-05,5.43124215581879e-05,0.000202114937940578,0.000491506113420101,0.000419675543338559,0.000360863204543145,0.00140159091339534
"17",2001-08-01,8.09330843025578e-05,6.65401204998134e-05,8.75708645523971e-05,0.000250009903289591,0.000572439197722659,0.000486215663838372,0.000448434069095542,0.00165160081668493
"18",2001-09-01,0.000359417507779763,0.000415032529544168,0.000346264294332287,0.00150576580178737,0.000931856705502422,0.00090124819338254,0.00079469836342783,0.0031573666184723
"19",2001-10-01,0.000331641093914448,0.000339842407516502,0.000348425853165255,0.00198019355564524,0.00126349779941687,0.00124109060089904,0.00114312421659308,0.00513756017411754
"20",2001-11-01,1.64392906620177e-05,2.53285980738201e-06,2.1118686562474e-08,6.43598879539043e-06,0.00127993709007889,0.00124362346070642,0.00114314533527965,0.00514399616291293
"21",2001-12-01,3.24572511693461e-05,2.26476890489022e-05,3.77496970965899e-05,7.29319866613915e-05,0.00131239434124823,0.00126627114975533,0.00118089503237624,0.00521692814957432
"22",2002-01-01,3.79774915048123e-05,4.86478204761983e-05,5.11550880961325e-05,0.000391867491474479,0.00135037183275305,0.00131491897023152,0.00123205012047237,0.0056087956410488
"23",2002-02-01,6.15948264501084e-05,5.97453729785892e-05,4.78972366294831e-05,0.000219527995157283,0.00141196665920315,0.00137466434321011,0.00127994735710185,0.00582832363620608
"24",2002-03-01,6.8717626696795e-05,8.08172689751612e-05,8.01986882743187e-05,0.000414432747273524,0.00148068428589995,0.00145548161218527,0.00136014604537617,0.0062427563834796
