"","AR","AR+PC","Ridge","LASSO","date"
"1",0.0940482105116686,0.077680696294532,0.039072216600405,0.0654505883058468,2000-03-01
"2",0.325240782954794,0.288941500689201,0.202955944542412,0.278925957615497,2000-04-01
"3",0.327198901404625,0.291156216980293,0.254299333399159,0.285987679134377,2000-05-01
"4",0.460477426776134,0.377594260713692,0.290742849675513,0.413642336640941,2000-06-01
"5",0.465285664349029,0.395611730546327,0.299688525767739,0.426557156771197,2000-07-01
"6",0.592217577880512,0.474159287787248,0.453798821024679,0.583530240937834,2000-08-01
"7",0.702480242138636,0.588174286086136,0.599490261625817,0.690687811651008,2000-09-01
"8",0.717471501290957,0.641502910175031,0.624488107004077,0.715593539950834,2000-10-01
"9",0.74421955212519,0.6519334815823,0.627028069850665,0.739850063605371,2000-11-01
"10",0.753509388109453,0.680149307007164,0.656059922687456,0.741584438312941,2000-12-01
"11",0.919349972896242,0.832452264226483,0.891945661251047,0.880431261219784,2001-01-01
"12",0.934796883179084,0.850254216087403,0.946543184392,0.911328375280551,2001-02-01
"13",1.03593693225746,0.907893458566286,1.02108573231182,0.970337221289409,2001-03-01
"14",1.03765138525617,0.908570102194555,1.02116578053554,0.971548758942809,2001-04-01
"15",1.16305107545851,0.995726768010196,1.13067709878432,1.04276029688408,2001-05-01
"16",1.19241245753464,1.0158102502725,1.16680809058639,1.06183578657973,2001-06-01
"17",1.39741661662212,1.14684677322571,1.21391537045621,1.27824839630364,2001-07-01
"18",1.41020379499725,1.15061728232942,1.21959777492613,1.29052421767051,2001-08-01
"19",1.48656505217865,1.20886631807012,1.27196461120615,1.3627770752051,2001-09-01
"20",1.85602312803588,1.4834736207575,1.32780648518078,1.64493170100514,2001-10-01
"21",1.87468750470497,1.49246214470492,1.69485791379662,1.65262817029408,2001-11-01
"22",1.88392093912528,1.49567597493987,1.69495203524925,1.65895839509214,2001-12-01
"23",1.89772039045705,1.52965509566282,1.69955727387325,1.6661863745983,2002-01-01
"24",1.89793863374226,1.5299168450439,1.70213550453258,1.66663164317296,2002-02-01
"25",1.91804674646819,1.56333550907756,1.75257524944356,1.69433981609828,2002-03-01
"26",2.0242146943003,1.65922102981413,1.76378980723649,1.75224987657768,2002-04-01
"27",2.03804198019633,1.65977171998271,1.76473236069866,1.77482592279741,2002-05-01
"28",2.06348314652511,1.66379120901408,1.76532826753223,1.79978036177951,2002-06-01
"29",2.0877427873814,1.69894353161445,1.79841456730843,1.80429101350998,2002-07-01
"30",2.10217594409749,1.73221181798672,1.81118526753641,1.80814527271345,2002-08-01
"31",2.10366515088521,1.73267177380055,1.81170289113791,1.81332688870474,2002-09-01
"32",2.10369295876708,1.73447024505494,1.8127421123434,1.81391078200551,2002-10-01
"33",2.10688346404594,1.73626194412094,1.83728303354228,1.81679423724034,2002-11-01
"34",2.11011166909763,1.73806702590306,1.8372856480949,1.81850172736209,2002-12-01
"35",2.15022458690139,1.79365641242685,1.86195822482841,1.87085628167529,2003-01-01
"36",2.22477506345078,1.84214226966886,1.92272434824109,1.94045464431255,2003-02-01
"37",2.25552642363037,1.85487191867945,1.9583083493186,1.97506976990969,2003-03-01
"38",2.67947500156234,2.21471260920165,2.13431108537726,2.38092489137045,2003-04-01
"39",2.72882319959989,2.21830421720388,2.20192354608446,2.43686133673168,2003-05-01
"40",2.73388898020077,2.21860018693011,2.20495990582304,2.43686366726471,2003-06-01
"41",2.7686182710184,2.22268680948598,2.21955130996163,2.45883296464246,2003-07-01
"42",2.81047252236148,2.28036944743559,2.26210321794922,2.50454395355837,2003-08-01
"43",2.81258675059958,2.28308276213421,2.26539038320993,2.51040115226539,2003-09-01
"44",2.97017055790218,2.40688048501866,2.3425824700788,2.62839059311218,2003-10-01
"45",2.97696512695698,2.41640936448735,2.34426716236133,2.64464011014911,2003-11-01
"46",3.00425849532208,2.43779285162319,2.35115044498359,2.65049471219184,2003-12-01
"47",3.09657755014966,2.52191489888026,2.35986266006205,2.68172119260549,2004-01-01
"48",3.11109052159748,2.52519637700549,2.38786732466643,2.69172570187689,2004-02-01
"49",3.11156432182124,2.52724099751855,2.38793506559027,2.69195366720474,2004-03-01
"50",3.11324079767969,2.52930636887211,2.39711896692263,2.69729495208129,2004-04-01
"51",3.15806321987667,2.55815013502896,2.41302614466729,2.7319846197141,2004-05-01
"52",3.16107188309495,2.55844986859844,2.42025727268532,2.7323711871793,2004-06-01
"53",3.1873696731131,2.5614917774422,2.42891976090354,2.75640958712844,2004-07-01
"54",3.21105482011002,2.58090727449033,2.44241335959313,2.7945032579661,2004-08-01
"55",3.22955075378627,2.59118973370914,2.4871280989378,2.81082275179121,2004-09-01
"56",3.28470578963229,2.65132867701876,2.54333970325082,2.8696634460527,2004-10-01
"57",3.29308591230409,2.65133048900884,2.54613166330597,2.87799790953698,2004-11-01
"58",3.42755187126591,2.74761603771027,2.57234571054907,2.98084424045063,2004-12-01
"59",3.49208762985312,2.78304488383719,2.63529277386387,3.04548716485054,2005-01-01
"60",3.55461363325171,2.80518505811539,2.6441207936978,3.07669843252872,2005-02-01
"61",3.55617829598377,2.8055604924284,2.64467210529522,3.07697374014554,2005-03-01
"62",3.55631608952269,2.80583688183484,2.66763448116433,3.07930147294382,2005-04-01
"63",3.65539380367934,2.90124522882145,2.79388977356698,3.19788339687475,2005-05-01
"64",3.6689757319189,2.9144798574666,2.80206293148162,3.21906992730558,2005-06-01
"65",3.84843541073147,2.98920164055168,2.87174748009267,3.33870468964356,2005-07-01
"66",3.89180811338191,3.00373535740981,2.90804246876239,3.36945604957203,2005-08-01
"67",4.89061539293393,3.88709034313362,3.60199062994651,4.1200960583735,2005-09-01
"68",5.23081700783746,4.22997277965776,3.98198873621391,4.3793228155645,2005-10-01
"69",5.99886925336043,4.7872760083061,4.51716635580116,5.22539360855099,2005-11-01
"70",6.00353607837582,4.79535145298626,4.53495538327065,5.26062899660214,2005-12-01
"71",6.14855580442256,4.82880785498854,4.55247349079711,5.31836197237064,2006-01-01
"72",6.31752174343436,5.12216193288573,4.66377021618859,5.65698032347107,2006-02-01
"73",6.31827690638421,5.12455298816023,4.66406267236249,5.66535480795596,2006-03-01
"74",6.41205340878755,5.13232875579827,4.67693106301478,5.72420232940089,2006-04-01
"75",6.41750338360403,5.16986491281641,4.71756762096346,5.74543735875033,2006-05-01
"76",6.46411196116221,5.22486286455999,4.71765606125921,5.76275857697454,2006-06-01
"77",6.55011284072868,5.30144584906799,4.86216502281037,5.80737568894452,2006-07-01
"78",6.58890787274761,5.33296149618693,4.86507282132819,5.80791307181858,2006-08-01
"79",7.3508182452591,5.84113877903082,5.46657828861091,6.60770817595553,2006-09-01
"80",7.54705655328351,6.0032613443683,5.53678214761922,6.84454661031791,2006-10-01
"81",7.55740150631994,6.03320539046875,5.56930263614842,6.85577671561341,2006-11-01
"82",7.67458895035315,6.05431754156202,5.66651442192279,6.89509252801472,2006-12-01
"83",7.68269444694446,6.07891865968004,5.75851647527929,6.97733987215405,2007-01-01
"84",7.70667331749283,6.12238705944306,5.83431608287632,7.02162722219057,2007-02-01
"85",7.75170319921484,6.13050010494976,5.83463851532077,7.03000853426612,2007-03-01
"86",7.75312668455995,6.13168797509565,5.83757702064172,7.04788061251684,2007-04-01
"87",7.76652136819687,6.13702719044653,5.86396915431287,7.0494991740722,2007-05-01
"88",7.77283105052669,6.15163490630333,5.86427163061118,7.09277664618126,2007-06-01
"89",7.77737056775933,6.15378973679219,5.8676686011904,7.13120284002208,2007-07-01
"90",7.77784876992991,6.1542383810831,5.9668786730414,7.23210795611399,2007-08-01
"91",7.80014518498209,6.25572533140285,6.05926594682779,7.26286381291997,2007-09-01
"92",7.82650268747513,6.31691023360276,6.0606767575751,7.27496348658904,2007-10-01
"93",7.99435787183189,6.49519774868753,6.39216619191077,7.50228496046724,2007-11-01
"94",8.02182669060723,6.52642378285902,6.40507743290794,7.54663542155735,2007-12-01
"95",8.02184221000493,6.55870951297462,6.47142632711033,7.55450803808051,2008-01-01
"96",8.04026451971962,6.5840197709892,6.50889011903357,7.56631175602678,2008-02-01
"97",8.05094805821853,6.62332780334265,7.30042496229018,7.56733883605882,2008-03-01
"98",8.06907106935766,6.63162269120183,7.30784338912514,7.57436988099725,2008-04-01
"99",8.20184886071551,6.86868157071708,7.44365268019064,7.69380271449069,2008-05-01
"100",8.58188350346795,7.27807368551681,8.16678173658792,8.08630552387405,2008-06-01
"101",8.60157027929833,7.36674046188018,8.21593234852285,8.11937841853827,2008-07-01
"102",9.23156032030456,7.71196234405861,8.2470714245692,8.37469234805295,2008-08-01
"103",9.24819006803866,7.73099403693604,8.25956820652836,8.37532304191394,2008-09-01
"104",10.8401893298814,9.03973980631248,9.33591154362454,9.7199009086674,2008-10-01
"105",13.4282027800793,10.3443886374761,11.1288593833229,12.5929836535934,2008-11-01
"106",13.4821323436448,10.3527007799831,11.3213590420086,12.6452068316194,2008-12-01
"107",13.7705627889526,10.9109071449729,11.3672121436494,12.8136616305115,2009-01-01
"108",13.8007472362101,10.9356702064162,11.3745863384586,12.8142755471356,2009-02-01
"109",13.9465903750691,10.9714834490868,11.4277860206187,12.9562910028787,2009-03-01
"110",13.9486064128999,11.0500375639951,11.6051020285386,12.9562910318973,2009-04-01
"111",13.9921982803737,11.0827781611019,11.6192017629591,12.9573989194664,2009-05-01
"112",15.1607409635861,12.2436277573276,11.8224510775203,13.3624719772628,2009-06-01
"113",15.2026811065044,12.7041768640599,12.3839809372306,13.6081560627138,2009-07-01
"114",15.5187154125095,13.6227681962923,12.7341750712574,13.6489067462201,2009-08-01
"115",15.6264553934913,13.6800588089173,12.8336041765683,13.6635404648147,2009-09-01
"116",15.6265322901742,13.7743474903926,12.8436904123947,13.6682924550588,2009-10-01
"117",15.6303449280362,13.7889094301631,12.8450690128285,13.6721751857487,2009-11-01
"118",15.7083180089914,13.8058886013405,12.8509008220737,13.7162055340845,2009-12-01
"119",15.7197098634887,13.8058965091627,12.9225059611667,13.7265491996511,2010-01-01
"120",15.7989796033669,13.8757960532624,13.0384931045812,13.7972695543955,2010-02-01
"121",15.8020674583567,13.9805148329953,13.1162580276544,13.802383596735,2010-03-01
"122",15.8102239485373,14.0108056547327,13.1409669494425,13.8193908364648,2010-04-01
"123",15.8347766795703,14.0111001696457,13.1450457717194,13.8548130341469,2010-05-01
"124",15.8428833622849,14.018681626633,13.1767874156913,13.8847466802991,2010-06-01
"125",15.8570037815588,14.0894968587341,13.1768051425008,13.887338305962,2010-07-01
"126",15.858479490493,14.0941309725685,13.1982604556228,13.8933097258081,2010-08-01
"127",15.8584811616313,14.0994134173124,13.1984545369687,13.8962156748795,2010-09-01
"128",15.8861418007353,14.1721903454222,13.2617389221197,13.9125311082951,2010-10-01
"129",15.8893757090819,14.1726004973643,13.2687460286235,13.9134036123831,2010-11-01
"130",15.9087898677582,14.255037697679,13.3828389272925,13.9382118004485,2010-12-01
"131",15.9094144130863,14.2644046949563,13.4019022082934,13.9392069429959,2011-01-01
"132",15.9095790526281,14.2737758616787,13.4371385124106,13.942421959731,2011-02-01
"133",15.9459725896039,14.4312801646499,13.5546511046814,14.0083812236213,2011-03-01
"134",15.9465151267196,14.4791801199611,13.5645251017473,14.0318525668161,2011-04-01
"135",15.955905936933,14.4814630169676,13.5653009017625,14.0354504285209,2011-05-01
"136",16.0731975443702,14.4962469121966,13.5877225174532,14.0667150755903,2011-06-01
"137",16.0779110415357,14.5877308518807,13.6179112678099,14.0964421451219,2011-07-01
"138",16.0779570405419,14.6036547758813,13.6264648979176,14.1052276477931,2011-08-01
"139",16.0859033356389,14.6194609005983,13.6428325290522,14.1052558882887,2011-09-01
"140",16.1106672314698,14.6485371253605,13.6436542871927,14.1268500651297,2011-10-01
"141",16.1106698244737,14.6713292871387,13.6451603162862,14.1275019763351,2011-11-01
"142",16.158394499919,14.7169183016065,13.6773578461595,14.1675746666994,2011-12-01
"143",16.1761838707243,14.7816708876023,13.7202446916201,14.191593811324,2012-01-01
"144",16.1774841991905,14.7825193685606,13.7225637418567,14.1930719089122,2012-02-01
"145",16.1781010158169,14.7835713627778,13.7231772363159,14.1939857063643,2012-03-01
"146",16.1810752074939,14.7838347878975,13.7249553771073,14.1949523991417,2012-04-01
"147",16.3720005445719,14.8679619719512,13.866786877383,14.3597934147145,2012-05-01
"148",16.3827823709117,14.8708356550332,13.8673342264962,14.3884914577829,2012-06-01
"149",16.3845821477967,14.8744190312243,13.875075297486,14.4003835760028,2012-07-01
"150",16.6053071317085,15.0637731489636,13.9675411155669,14.5548167437825,2012-08-01
"151",16.6189141512884,15.0712738306209,13.9852877204202,14.5775202656242,2012-09-01
"152",16.6248483889544,15.0773744215917,13.9883439518127,14.5776739612601,2012-10-01
"153",16.8216934747133,15.1891490870679,14.0880276719523,14.6966999164634,2012-11-01
"154",16.8365867093985,15.1891975086099,14.1037227142662,14.7003377084543,2012-12-01
"155",16.8382904329,15.1955358624969,14.1305520290349,14.7013736659288,2013-01-01
"156",16.9794592875145,15.2743982262302,14.1408871655685,14.8081790903055,2013-02-01
"157",17.3368981391018,15.6641354979836,14.5203371781356,15.1365860262677,2013-03-01
"158",17.3439445809378,15.6742832996478,14.5239998604478,15.162208023684,2013-04-01
"159",17.3451170191266,15.6777547463341,14.5323938519684,15.162227961423,2013-05-01
"160",17.3471248002406,15.6779002880175,14.5641612669571,15.1759215928386,2013-06-01
"161",17.3522804615795,15.6785829154639,14.5689669573496,15.1780279134484,2013-07-01
"162",17.3749712175076,15.7173736849041,14.5702540331308,15.1859965995918,2013-08-01
"163",17.381195130349,15.7256806593124,14.5779442899006,15.1934866437828,2013-09-01
"164",17.3834027129786,15.7361011297374,14.5779596286255,15.195851096059,2013-10-01
"165",17.383439249103,15.7387882821925,14.5798268208446,15.2025994965693,2013-11-01
"166",17.3855583524743,15.7403114014217,14.6138182878372,15.2227660434328,2013-12-01
"167",17.3967506463359,15.7447384985544,14.6170660423119,15.2254362347501,2014-01-01
"168",17.3990962509153,15.7791857827341,14.6278271101617,15.2257793248378,2014-02-01
"169",17.4029182520981,15.7847564176161,14.6282298810787,15.2308001790159,2014-03-01
"170",17.4040801633965,15.788498808243,14.6554775555249,15.2308685670088,2014-04-01
"171",17.4117772822507,15.7897001540424,14.6566603867047,15.2308698139001,2014-05-01
"172",17.4120362171423,15.7935094059894,14.6635777294987,15.2316074700496,2014-06-01
"173",17.4120714144815,15.7964509444888,14.6659542132899,15.2325482610723,2014-07-01
"174",17.4247495241227,15.8185994341751,14.6670128404874,15.24502672062,2014-08-01
"175",17.4346107298431,15.8191804036027,14.6671455135874,15.2554234423478,2014-09-01
"176",17.4616964014106,15.8346917357706,14.6709396654342,15.2675624784908,2014-10-01
"177",17.5445419036142,15.8621008906485,14.6818385608006,15.327744210526,2014-11-01
"178",17.6226899155112,15.9705280051666,14.7487309082165,15.4358503727668,2014-12-01
"179",17.9248917735988,16.1168929713737,14.8545408277121,15.7200080119215,2015-01-01
"180",18.1946881719585,16.4924039865802,15.1908652738387,15.9267298579232,2015-02-01
"181",18.195593517245,16.4960204004772,15.2333534331398,15.927816208472,2015-03-01
"182",18.1958153579808,16.5005079853036,15.2666846294795,15.9281955453334,2015-04-01
"183",18.2710487823246,16.6127602757982,15.386934891645,15.9442463018104,2015-05-01
"184",18.2737906713336,16.6317445377443,15.3964403913563,15.9475412957656,2015-06-01
"185",18.284701029538,16.6359533015494,15.4201685131705,15.9486778881748,2015-07-01
"186",18.3223473587454,16.6423072389669,15.4309127191597,15.9567669249983,2015-08-01
"187",18.3862608526161,16.7279998381052,15.461397064465,16.064200204342,2015-09-01
"188",18.4446607477475,16.8623811466262,15.5417343771871,16.0676290484668,2015-10-01
"189",18.4446621084061,16.8684193798549,15.5450117629686,16.0678365667278,2015-11-01
"190",18.4836755049934,16.9032739628643,15.5453084685287,16.105003853557,2015-12-01
"191",18.5303274799148,16.9275266130984,15.545993069739,16.1067923085674,2016-01-01
"192",18.5853664151304,16.9469021993814,15.5503831540392,16.1376306741229,2016-02-01
"193",18.7040601365625,17.0408879525052,15.8319783145792,16.187878635431,2016-03-01
"194",18.7180594271771,17.0465223174797,15.8338225891384,16.1903135435105,2016-04-01
"195",18.7191146065533,17.0465712577056,15.8393052283869,16.1909602019855,2016-05-01
"196",18.725848219901,17.0772333090356,15.8702677371788,16.1945882134118,2016-06-01
"197",18.8488099902211,17.1801049843019,15.9083833241636,16.2579047461148,2016-07-01
"198",18.8589649906768,17.1983678149218,16.0199581377463,16.2881417806603,2016-08-01
"199",18.8590699350694,17.2038932635069,16.0279371882338,16.2884774217223,2016-09-01
"200",18.8594060727268,17.2043565046371,16.0279918234932,16.2884950804166,2016-10-01
"201",18.8672271963783,17.217254115305,16.0300655332192,16.2965734481618,2016-11-01
"202",18.8734516130186,17.2816396955188,16.149553752826,16.321007133685,2016-12-01
"203",18.8894963041359,17.2824105692412,16.1498885873253,16.324624270424,2017-01-01
"204",18.947448831845,17.2908856936929,16.1622944758426,16.3379737273557,2017-02-01
"205",18.9799826819112,17.2927976755469,16.1751939366929,16.3661019937058,2017-03-01
"206",18.9903427575204,17.2997512931785,16.17658770946,16.3834111698001,2017-04-01
"207",19.1161229217924,17.4187206431598,16.2989301318535,16.5141449301361,2017-05-01
"208",19.1253250442565,17.4330095255938,16.3193056228311,16.5150251062998,2017-06-01
"209",19.1589724132769,17.4579141916406,16.3266965734924,16.5243348757082,2017-07-01
"210",19.2260609306541,17.530259947356,16.3884286128299,16.5690936530939,2017-08-01
"211",19.2938991388293,17.607770949622,16.4437986034316,16.6547745177275,2017-09-01
"212",19.4126307842422,17.7446233641948,16.5692660814756,16.7674470211857,2017-10-01
"213",19.4560329321259,17.8068980116423,16.663443283263,16.7840114450901,2017-11-01
"214",19.4996667946637,17.8353882324001,16.7295187956576,16.8065298134936,2017-12-01
"215",19.5369791641158,17.9245548845501,16.7649891050088,16.8489683544374,2018-01-01
"216",19.5491251743413,17.9464851431862,16.7820374948174,16.8597621114818,2018-02-01
"217",19.5683591698851,17.9467785739568,16.7824959713666,16.8702513882176,2018-03-01
"218",19.5825895273305,17.9802142203794,16.8262303389018,16.8813217081684,2018-04-01
"219",19.5944378246966,17.9908738067052,16.8277564158852,16.8906735170428,2018-05-01
"220",19.5966830509629,17.9926705940538,16.8283554581216,16.8991590711228,2018-06-01
"221",19.6139741785617,17.9967567647978,16.8297943905598,16.9025623564744,2018-07-01
"222",19.6140229193806,17.9970804648344,16.8349134666633,16.9076053395907,2018-08-01
"223",19.614526611572,17.9995458549753,16.8366690851557,16.9076590849344,2018-09-01
"224",19.6228733515435,18.002308589119,16.8463986509715,16.9084845928061,2018-10-01
"225",19.7146388603541,18.0759271748202,16.9245823829037,16.982028624714,2018-11-01
"226",19.7499038787723,18.0795209466078,16.9264587063372,17.0040482878791,2018-12-01
"227",19.7540671425911,18.0795746579408,16.9357233851781,17.0197965147279,2019-01-01
"228",19.7653223542679,18.0911566277945,16.9381856099853,17.0198025246311,2019-02-01
"229",19.8372780918728,18.1316690654922,16.9721409563405,17.0665368397742,2019-03-01
"230",19.8493042336092,18.1462736721347,17.008307091778,17.0798343276876,2019-04-01
"231",19.9658883659191,18.2472491925209,17.176262258192,17.2137630653678,2019-05-01
"232",19.972450447999,18.2480691569624,17.1962683375264,17.2171098327405,2019-06-01
"233",19.9727946539234,18.2485056454455,17.2047425945647,17.2174459299667,2019-07-01
"234",19.9911186420274,18.2936467777596,17.3603093939341,17.280904498605,2019-08-01
"235",19.9939266177902,18.2966622209609,17.4323087483079,17.2818181598829,2019-09-01
"236",20.0145177503917,18.2980423821977,17.4343271586544,17.2842694599022,2019-10-01
"237",20.0179196101804,18.299335566601,17.4478634527309,17.2842892132039,2019-11-01
"238",20.0360313659196,18.3223712114872,17.6068839263261,17.3303276911171,2019-12-01
"239",20.0370991961327,18.3224463456471,17.6132426524263,17.3305844122125,2020-01-01
"240",20.0726029580184,18.3614930928391,17.613278604879,17.3505807891118,2020-02-01
"241",20.2592818923293,18.5155835854887,17.7442438351286,17.5268460046464,2020-03-01
"242",20.5863500578825,18.6263448107506,18.2391301487495,17.7636632107018,2020-04-01
"243",20.594419288746,20.1987853207511,19.8158193987463,17.8066702076396,2020-05-01
"244",20.693438897725,20.4254991703008,19.831951805713,18.0323198897982,2020-06-01
"245",20.7096056098911,20.4781942643405,20.1291974365118,18.059515792966,2020-07-01
"246",20.7118490680999,20.5138369283958,20.3163715481532,18.0600177147713,2020-08-01
"247",20.7120658582406,20.5141855370522,20.4371482934972,18.0785154007329,2020-09-01
"248",20.714749989415,20.5216833632165,20.4876216580623,18.0888696888546,2020-10-01
"249",20.7201030899583,20.5227601370764,20.5339591497182,18.0908960360656,2020-11-01
"250",20.7202397650179,20.5280004552256,20.5353298453364,18.0909251030595,2020-12-01
"251",20.7206369812474,20.528747632749,20.5455610737289,18.0928512531075,2021-01-01
"252",20.7334094179496,20.5312194527163,20.7325467100898,18.110410387931,2021-02-01
"253",20.8318837385346,20.6479096396865,20.9229659094172,18.2147409683579,2021-03-01
"254",20.9358281997005,20.7760778352322,20.9583140513558,18.51126410475,2021-04-01
"255",20.9571672061549,20.824116679112,21.5026485181204,18.5633745265059,2021-05-01
"256",21.1811485737727,21.1025354216046,21.905872893578,18.8483360238896,2021-06-01
"257",21.1937477943707,21.1047992392224,21.9532384561045,18.848509749458,2021-07-01
"258",21.1943836612563,21.1396501306819,21.9940099640143,18.8517931969628,2021-08-01
"259",21.2107548158078,21.1809282902324,22.011110161229,18.8920469025072,2021-09-01
"260",21.5466566808001,21.6347981206509,22.3596946195308,19.2679819817736,2021-10-01
"261",21.5719935473875,21.6830022133742,22.4822217156366,19.3372155342573,2021-11-01
