"","forecasts.forecasts_Q2.AR","forecasts.forecasts_Q2.AR_PC","forecasts.forecasts_Q2.Ridge_4lags","forecasts.forecasts_Q2.Ridge","forecasts.forecasts_Q2.LASSO","forecasts.RF_4lags","RF"
"1",0.347137214794246,0.306082752321775,0.3580685196922,0.387128388134616,0.328962195741176,0.288421878975943,0.29094670491176
"2",0.424690183583238,0.401117410521459,0.359949428063251,0.346311801750149,0.403520197490625,0.412218505153531,0.36816912374055
"3",0.184806615758179,0.128172872542591,0.357126985036638,-0.0513571511949946,0.259267694618692,0.242005861309694,0.207150054647349
"4",0.250045988194414,0.286716617198688,0.358928271088675,0.389818243064684,0.223432173294968,0.261034278923778,0.334028663924635
"5",0.416174827766946,0.423748566882364,0.361863899347201,0.384100982118305,0.403162787973727,0.327478491603223,0.396410335863973
"6",0.372532880183737,0.280263371208085,0.361459005308363,0.392568841423947,0.396198288949658,0.309886494664891,0.274308657062889
"7",0.136532941609728,0.180772109567516,0.362094100376017,0.136737698218761,0.191083869791173,0.24880347441901,0.226355112545507
"8",0.345985953105555,0.403442850107874,0.365368763732916,0.330620007819801,0.330328426619766,0.340003168356869,0.384599142509713
"9",0.335971163685983,0.274346012795453,0.36427475115267,0.222613887932653,0.327960903665433,0.219015882849112,0.242493669257991
"10",0.400277268176986,0.397070743601361,0.36513238127761,0.399482435597482,0.270740899067374,0.319739861524623,0.361811894123476
"11",0.171076925657917,0.179215967184557,0.364748438366473,0.0837953859051623,0.196854527465848,0.288232375517902,0.320077352534065
"12",0.360989968326886,0.360696682621535,0.366201950575466,0.460933856134495,0.403048476626182,0.365457739897061,0.41513925229938
"13",0.362287284847481,0.296867658336832,0.367712430435559,0.329810729004986,0.299703281660959,0.273063841742815,0.229121404448458
"14",0.183738657014347,0.196080401732806,0.365830842537171,0.161121059918785,0.204875176669012,0.263808114902494,0.279363855492591
"15",0.255828341341418,0.212391135144035,0.366414314702943,0.176689269670323,0.240759312659737,0.255014177921601,0.32528620911903
"16",0.424185267395219,0.366814683830689,0.367008001737883,0.415180020462384,0.363212526560483,0.350666928354353,0.356974396406035
"17",0.192248881280219,0.192880315055554,0.36483078832498,0.0479327580443924,0.296092329762022,0.232013670942302,0.186090051757077
"18",0.16651048298033,0.0614044713657703,0.361721308639963,0.0753817250394586,0.110796305745583,0.152278495533809,0.10591802846823
"19",0.153961535964804,0.151689249234098,0.361855336369432,0.164199606126581,0.124238702772172,0.246666260975158,0.28673280311352
"20",0.288130244083658,0.242498336593734,0.361830093817904,-0.0452226785982676,0.249650759024207,0.255223724858733,0.266940147946875
"21",0.0802989068738014,0.038469798234813,0.361416644657771,0.549509666070926,0.0313914953048149,0.0942147740515444,0.0406253612474405
"22",0.147228985649572,0.00032086806411547,0.357939051468024,-0.0660714069287483,0.0231929240513253,0.223982224429362,0.235738530382878
"23",-0.00403895948928268,-0.0155104031230727,0.356328815588723,0.100961951948246,0.0838063357386918,0.205439689635974,0.198381708407533
"24",0.0782843386584551,0.184717996402585,0.357500540397316,0.117763045363234,0.14743793786333,0.246975281084069,0.270919659291592
"25",0.12348087491255,0.0973043206002291,0.354566558000775,0.0555241001036466,0.113654323683323,0.207397554530596,0.210052512359415
"26",0.226738710942114,0.13652571481242,0.355740844927954,0.340280778069989,0.205534494918801,0.259134112449845,0.286443418599629
"27",0.215675001361181,0.0879538241839637,0.356825323321196,0.142121646381898,0.261673886387438,0.266567766282753,0.229760940814107
"28",0.0541308094964233,0.119078727613134,0.355769865834868,0.0312680842711388,0.213649028021828,0.162887482297417,0.123806154755997
"29",0.108117382028731,0.0347326955804056,0.355934024653011,0.0403258237526608,0.155060836512358,0.254162507261694,0.234629262028853
"30",0.262873239270118,0.0946123498437582,0.356556809750524,0.164000787367067,0.21492562986685,0.234052601968951,0.253238967102906
"31",0.126311302479902,0.144482623070483,0.357116317003093,0.188680546390418,0.237912646019968,0.233219362714384,0.227722615318649
"32",0.157079061112505,0.178342165271901,0.356923473267593,0.188513597840844,0.196586667652874,0.24635152322422,0.234731143885897
"33",0.262844709621619,0.207617722577374,0.358408355115534,0.321944678060726,0.218987070258473,0.241319314003687,0.250294227330489
"34",0.316178668790748,0.122530247612912,0.358608466320705,0.166633459480109,0.206338289144684,0.207604534926558,0.191994482864847
