"","AR","AR+PC","Ridge","LASSO","RF (4 lags)","RF","date"
"1",0.0940482105116686,0.077680696294532,0.039072216600405,0.0654505883058468,0.0882361624174781,0.0850164412561242,2000-03-01
"2",0.325240782954794,0.288941500689201,0.202955944542412,0.278925957615497,0.277424860517623,0.260537049964907,2000-04-01
"3",0.327198901404625,0.291156216980293,0.254299333399159,0.285987679134377,0.280321801258066,0.260545689845932,2000-05-01
"4",0.460477426776134,0.377594260713692,0.290742849675513,0.413642336640941,0.375336344757889,0.318539618902354,2000-06-01
"5",0.465285664349029,0.395611730546327,0.299688525767739,0.426557156771197,0.377388873513957,0.325622352793345,2000-07-01
"6",0.592217577880512,0.474159287787248,0.453798821024679,0.583530240937834,0.46970816516588,0.411577955648488,2000-08-01
"7",0.702480242138636,0.588174286086136,0.599490261625817,0.690687811651008,0.544349828367182,0.505110412366264,2000-09-01
"8",0.717471501290957,0.641502910175031,0.624488107004077,0.715593539950834,0.569983964521051,0.556096643944534,2000-10-01
"9",0.74421955212519,0.6519334815823,0.627028069850665,0.739850063605371,0.572384381358112,0.556927613613408,2000-11-01
"10",0.753509388109453,0.680149307007164,0.656059922687456,0.741584438312941,0.580351015452775,0.572133253676852,2000-12-01
"11",0.919349972896242,0.832452264226483,0.891945661251047,0.880431261219784,0.654719688760018,0.651663608694137,2001-01-01
"12",0.934796883179084,0.850254216087403,0.946543184392,0.911328375280551,0.676333040626174,0.678710747111978,2001-02-01
"13",1.03593693225746,0.907893458566286,1.02108573231182,0.970337221289409,0.727260004519958,0.705011368650091,2001-03-01
"14",1.03765138525617,0.908570102194555,1.02116578053554,0.971548758942809,0.737716070769654,0.717009488113341,2001-04-01
"15",1.16305107545851,0.995726768010196,1.13067709878432,1.04276029688408,0.797586404565889,0.751334204805002,2001-05-01
"16",1.19241245753464,1.0158102502725,1.16680809058639,1.06183578657973,0.807854596908247,0.767498077304255,2001-06-01
"17",1.39741661662212,1.14684677322571,1.21391537045621,1.27824839630364,0.972775722877038,0.896000235858988,2001-07-01
"18",1.41020379499725,1.15061728232942,1.21959777492613,1.29052421767051,0.989483001698203,0.905117700449705,2001-08-01
"19",1.48656505217865,1.20886631807012,1.27196461120615,1.3627770752051,1.00769176028204,0.916028459422841,2001-09-01
"20",1.85602312803588,1.4834736207575,1.32780648518078,1.64493170100514,1.28839184543621,1.21786162738768,2001-10-01
"21",1.87468750470497,1.49246214470492,1.69485791379662,1.65262817029408,1.3086051345177,1.22262705183972,2001-11-01
