"","date","lag1","lag2","lag3","lag4","lag1cum","lag2cum","lag3cum","lag4cum"
"1",7-01-20,0.00638136507313117,0.00950614085495908,0.0167569729624504,0.00488164432069031,0.00638136507313117,0.00950614085495908,0.0167569729624504,0.00488164432069031
"2",8-01-20,4.22084426498771e-06,0.000855764458572222,0.0130643142492698,0.128797632479791,0.00638558591739615,0.0103619053135313,0.0298212872117202,0.133679276800481
"3",9-01-20,0.000566481705438557,0.00415425664441559,7.95879624458347e-06,0.0238011815765766,0.00695206762283471,0.0145161619579469,0.0298292460079648,0.157480458377058
"4",10-01-20,0.000452019500439056,0.00354479430388732,1.39474722775327e-05,0.0357817786979985,0.00740408712327377,0.0180609562618342,0.0298431934802423,0.193262237075056
"5",11-01-20,0.0057385393993443,0.00512198653267282,0.00558731401385815,0.0359374705424354,0.0131426265226181,0.023182942794507,0.0354305074941004,0.229199707617492
"6",12-01-20,0.00343908266978311,0.00333008634021503,0.00145387499847619,0.0179888123862669,0.0165817091924012,0.0265130291347221,0.0368843824925766,0.247188520003759
"7",1-01-20,0.000440522915761929,0.00247913117491942,0.00490052784549162,0.0418769321265432,0.0170222321081631,0.0289921603096415,0.0417849103380682,0.289065452130302
"8",2-01-20,0.000233245978727454,6.28419774253538e-05,0.00128376853894978,0.0185498123742146,0.0172554780868906,0.0290550022870668,0.043068678877018,0.307615264504517
"9",3-01-20,0.000549970802857255,0.00120924372508127,0.000319653569158854,0.0944415569560895,0.0178054488897478,0.0302642460121481,0.0433883324461769,0.402056821460606
"10",4-01-20,0.00283766992359416,0.00147302888530607,7.03708062144248e-05,0.0379480552127286,0.020643118813342,0.0317372748974542,0.0434587032523913,0.440004876673335
"11",5-01-20,0.000119311759533822,0.000389424493689411,2.30136402445222e-08,0.0206157039589937,0.0207624305728758,0.0321266993911436,0.0434587262660315,0.460620580632328
"12",6-01-20,4.66459761449563e-05,0.000437208095930858,0.00129211466147234,0.018903419882282,0.0208090765490208,0.0325639074870744,0.0447508409275039,0.47952400051461
"13",7-01-20,0.000793255666329166,0.000832438074585515,0.000712942869551566,0.278956133548135,0.0216023322153499,0.03339634556166,0.0454637837970554,0.758480134062745
"14",8-01-20,0.0118680052214262,0.00349181921151052,0.00257843001737617,0.130095256573204,0.0334703374367761,0.0368881647731705,0.0480422138144316,0.888575390635949
"15",9-01-20,0.00590010734945544,0.000320730811469331,3.97496987089785e-05,0.00109650189342028,0.0393704447862315,0.0372088955846398,0.0480819635131406,0.889671892529369
"16",10-01-20,0.000660298547499265,0.00103321854963193,0.0022352161736912,0.407825802940804,0.0400307433337308,0.0382421141342717,0.0503171796868318,1.29749769547017
"17",11-01-20,0.0424466728684368,0.0291568243948881,0.0638872694292782,0.1711857095122,0.0824774162021676,0.0673989385291599,0.11420444911611,1.46868340498237
"18",12-01-20,0.0149607606113539,0.0057655080924388,0.0286376424393164,0.167229732021026,0.0974381768135216,0.0731644466215987,0.142842091555426,1.6359131370034
"19",1-01-20,0.0289511016519423,0.0389169039047169,0.011352229243994,0.0335313188631012,0.126389278465464,0.112081350526316,0.15419432079942,1.6694444558665
"20",2-01-20,0.000715412666950738,0.000118141697259189,0.0022241424124584,0.0337670566047779,0.127104691132415,0.112199492223575,0.156418463211879,1.70321151247128
"21",3-01-20,0.0236791234424223,0.0207880019755306,0.0427503739806179,0.00509004986724039,0.150783814574837,0.132987494199105,0.199168837192497,1.70830156233852
"22",4-01-20,0.00900977601111551,1.5899328830731e-05,0.000689039749450894,0.00869384840242333,0.159793590585953,0.133003393527936,0.199857876941948,1.71699541074094
"23",5-01-20,0.000351342695335075,0.00379112766463197,0.00276531467819716,0.05784144295232,0.160144933281288,0.136794521192568,0.202623191620145,1.77483685369326
"24",6-01-20,0.0044132513191767,0.000105055689132739,0.000348372852047271,0.0881285547092395,0.164558184600464,0.136899576881701,0.202971564472192,1.8629654084025
"25",7-01-20,0.000370242983788381,0.00159520916004448,0.00135407704198473,0.0172190794933067,0.164928427584253,0.138494786041745,0.204325641514177,1.88018448789581
"26",8-01-20,0.00813417727138772,0.00564662720468245,0.0129875612358074,0.00581564995886542,0.17306260485564,0.144141413246428,0.217313202749984,1.88600013785467
"27",9-01-20,0.00790981651583889,0.0221813444107402,0.0217880771165213,0.0352962607256779,0.180972421371479,0.166322757657168,0.239101279866506,1.92129639858035
"28",10-01-20,0.000123476687901244,0.000550706645791511,0.00559011402543911,0.0181661735371462,0.181095898059381,0.166873464302959,0.244691393891945,1.9394625721175
"29",11-01-20,0.00249198756631985,0.000158043053070013,0.000397886762930986,0.0360817540361768,0.1835878856257,0.167031507356029,0.245089280654876,1.97554432615367
"30",12-01-20,5.9137958586856e-05,0.00127040501681112,0.00230902585523792,0.0366235168777217,0.183647023584287,0.168301912372841,0.247398306510114,2.0121678430314
"31",1-01-20,0.000142514410180607,0.000806735396095174,0.00988955510359213,0.00639814532981874,0.183789537994468,0.169108647768936,0.257287861613706,2.01856598836121
"32",2-01-20,1.42710168411049e-05,0.00045770275585901,0.00348998267918607,0.034493155335673,0.183803809011309,0.169566350524795,0.260777844292892,2.05305914369689
"33",3-01-20,0.00157434003306455,0.000546180648649954,0.000815145859108307,0.037596882022414,0.185378149044373,0.170112531173445,0.261592990152,2.0906560257193
"34",4-01-20,0.00465342373595718,0.00579987673535177,0.00421773072399295,0.543258112624798,0.190031572780331,0.175912407908797,0.265810720875993,2.6339141383441
"35",5-01-20,0.00552637113460257,0.000446836845512042,0.000602916924520467,0.270349413441565,0.195557943914933,0.176359244754309,0.266413637800513,2.90426355178566
