,Cumulated_MSE_NN,Cumulated_MSE_LSTM
2012-12-01,19.463505,15.262748
2013-01-01,19.466257,15.279295
2013-02-01,19.856407,15.596419
2013-03-01,19.91064,15.7100315
2013-04-01,19.921011,15.732099
2013-05-01,19.940685,15.736418
2013-06-01,19.978134,15.738314
2013-07-01,20.003141,15.757301
2013-08-01,20.029667,15.801008
2013-09-01,20.045633,15.814523
2013-10-01,20.045647,15.824238
2013-11-01,20.048052,15.827681
2013-12-01,20.08433,15.827917
2014-01-01,20.096071,15.830248
2014-02-01,20.096178,15.830554
2014-03-01,20.11984,15.833837
2014-04-01,20.119947,15.83386
2014-05-01,20.120512,15.838282
2014-06-01,20.122852,15.845608
2014-07-01,20.132618,15.900011
2014-08-01,20.146505,15.930382
2014-09-01,20.147003,15.93708
2014-10-01,20.185682,16.004116
2014-11-01,20.347113,16.223492
2014-12-01,20.769148,16.781467
2015-01-01,20.900724,16.821253
2015-02-01,20.911343,16.839554
2015-03-01,20.911343,16.843615
2015-04-01,20.963682,16.869892
2015-05-01,20.971594,16.873882
2015-06-01,20.97428,16.885023
2015-07-01,20.974287,16.885147
2015-08-01,21.151295,17.033491
2015-09-01,21.19397,17.042685
2015-10-01,21.21621,17.054386
2015-11-01,21.224377,17.160978
2015-12-01,21.227373,17.16431
2016-01-01,21.22868,17.164318
2016-02-01,21.264702,17.240347
2016-03-01,21.283237,17.253965
2016-04-01,21.292015,17.282839
2016-05-01,21.313,17.348396
2016-06-01,21.353146,17.423283
2016-07-01,21.41745,17.490261
2016-08-01,21.441586,17.514915
2016-09-01,21.482574,17.53465
2016-10-01,21.488737,17.535978
2016-11-01,21.61808,17.6159
2016-12-01,21.628119,17.64679
2017-01-01,21.636171,17.646923
2017-02-01,21.702877,17.67432
2017-03-01,21.704012,17.71643
2017-04-01,21.836555,17.805607
2017-05-01,21.851776,17.809776
2017-06-01,21.873777,17.842999
2017-07-01,21.901262,17.858313
2017-08-01,21.978914,18.029907
2017-09-01,22.01196,18.0815
2017-10-01,22.09842,18.161167
2017-11-01,22.136854,18.1778
2017-12-01,22.21411,18.237026
2018-01-01,22.220802,18.247211
2018-02-01,22.220999,18.253075
2018-03-01,22.30444,18.27607
2018-04-01,22.309986,18.279278
2018-05-01,22.31198,18.280432
2018-06-01,22.345833,18.28534
2018-07-01,22.39046,18.306238
2018-08-01,22.395021,18.310778
2018-09-01,22.396526,18.313114
2018-10-01,22.448484,18.4025
2018-11-01,22.471375,18.42258
2018-12-01,22.475492,18.42261
2019-01-01,22.48482,18.43681
2019-02-01,22.487766,18.45159
2019-03-01,22.496494,18.534845
2019-04-01,22.593386,18.54535
2019-05-01,22.629461,18.548761
2019-06-01,22.647556,18.598524
2019-07-01,22.734602,18.621054
2019-08-01,22.736502,18.62108
2019-09-01,22.736681,18.685175
2019-10-01,22.741104,18.689302
2019-11-01,22.915813,18.723017
2019-12-01,22.91661,18.728907
2020-01-01,22.972101,18.734846
2020-02-01,23.161678,18.901964
2020-03-01,23.172777,19.073969
2020-04-01,23.549238,19.129341
2020-05-01,23.820982,19.260866
2020-06-01,24.125694,19.324074
2020-07-01,24.237623,19.340105
2020-08-01,24.331894,19.34338
2020-09-01,24.41176,19.377254
2020-10-01,24.43569,19.377644
2020-11-01,24.520481,19.401184
2020-12-01,24.60036,19.414728
2021-01-01,24.601728,19.41652
2021-02-01,24.6915,19.427862
2021-03-01,24.93846,19.671904
2021-04-01,24.974215,19.753931
2021-05-01,25.387573,20.100266
2021-06-01,25.398293,20.114305
2021-07-01,25.81674,20.183083
2021-08-01,25.939247,20.185299
2021-09-01,26.520357,20.742657
2021-10-01,26.72481,20.971827
